,pointid_left,grid_code,POINT_X,POINT_Y,geometry,index_right,pointid_right,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
0,1,1,49.2830532444,-12.0416224445,POINT (49.283053244434 -12.041622444451),7343,14,262,274,245,1123,302,12,106,738,51,725,60,76,67,1196,317,204,113,273,249
1,2,1,49.1997232444,-12.1249524445,POINT (49.199723244434 -12.124952444451),7341,16,267,279,249,1150,314,12,108,767,50,752,57,76,66,1204,322,208,114,277,254
2,3,1,49.2830532444,-12.1249524445,POINT (49.283053244434 -12.124952444451),7342,17,266,277,248,1131,308,12,107,751,50,738,58,76,66,1200,321,207,114,276,253
3,4,1,49.1997232444,-12.2082824445,POINT (49.199723244434 -12.208282444451),7338,21,256,268,238,1179,322,11,109,793,47,777,53,80,68,1207,312,195,117,267,243
4,5,1,49.3663832444,-12.2082824445,POINT (49.366383244434 -12.208282444451),7339,22,267,279,250,1135,306,13,107,747,53,739,60,77,66,1193,323,208,115,277,254
5,6,1,49.1163932444,-12.2916124445,POINT (49.116393244434 -12.291612444451),7331,25,265,277,247,1221,337,11,111,828,47,812,51,80,67,1228,322,204,118,275,252
6,7,1,49.1997232444,-12.2916124445,POINT (49.199723244434 -12.291612444451),7332,26,268,279,250,1194,330,11,111,808,48,794,52,79,68,1181,324,208,116,278,255
7,8,1,49.2830532444,-12.2916124445,POINT (49.283053244434 -12.291612444451),7333,27,266,277,248,1161,322,11,111,787,48,775,52,79,67,1187,323,206,117,275,253
8,9,1,49.3663832444,-12.2916124445,POINT (49.366383244434 -12.291612444451),7334,28,266,278,249,1150,313,12,108,764,52,756,57,79,68,1190,322,206,116,276,253
9,10,1,49.0330632444,-12.3749424445,POINT (49.033063244434 -12.374942444451),7322,31,262,273,245,1293,352,12,111,872,49,855,52,82,69,1190,318,200,118,272,250
10,11,1,49.1163932444,-12.3749424445,POINT (49.116393244434 -12.374942444451),7323,32,256,268,238,1269,345,11,111,856,46,841,51,84,70,1216,313,193,120,267,244
11,12,1,49.1997232444,-12.3749424445,POINT (49.199723244434 -12.374942444451),7324,33,263,274,245,1228,339,11,111,834,47,821,51,82,68,1186,320,200,120,273,250
