index,pointid,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Exists
7356,1,253,267,234,2241,325,63,46,867,250,867,333,69,65,1351,301,196,105,267,247,0
7354,2,250,263,231,2308,330,65,45,884,255,884,354,70,66,1350,297,192,105,263,244,0
7355,3,208,220,190,2190,341,57,50,913,237,913,278,74,69,1252,258,151,107,220,193,0
7352,4,252,265,233,2339,334,67,44,893,258,893,367,70,66,1365,300,194,106,265,246,0
7353,5,217,230,199,2231,344,60,49,920,250,920,297,73,68,1252,266,160,106,230,203,0
7350,6,238,252,219,2345,344,66,45,919,263,919,354,71,65,1359,288,180,108,252,233,0
7351,7,229,242,210,2285,347,63,47,925,262,925,322,72,67,1321,278,171,107,242,224,0
7348,8,234,248,215,2313,346,64,46,924,261,924,339,72,66,1367,284,176,108,248,228,0
7349,9,172,184,154,2066,348,48,58,935,197,935,216,78,70,1207,224,114,110,184,158,0
7345,10,245,258,226,2335,346,66,45,922,261,922,356,72,67,1345,293,186,107,258,240,0
7346,11,144,156,128,2024,352,43,63,949,178,949,187,81,72,1169,197,85,112,156,132,0
7347,12,228,241,209,2242,355,62,49,937,259,937,302,73,67,1313,277,169,108,241,213,0
7344,13,218,231,200,2177,356,58,52,939,241,842,274,75,68,1258,268,159,109,230,203,0
7343,14,262,274,245,1123,302,12,106,738,51,725,60,76,67,1196,317,204,113,273,249,0
7340,15,241,253,224,1813,374,42,69,927,145,728,145,75,68,1162,291,182,109,251,224,0
7341,16,267,279,249,1150,314,12,108,767,50,752,57,76,66,1204,322,208,114,277,254,0
7342,17,266,277,248,1131,308,12,107,751,50,738,58,76,66,1200,321,207,114,276,253,0
7335,18,239,251,222,1858,377,47,67,939,158,743,158,76,69,1139,289,180,109,250,222,0
7336,19,234,246,217,1830,373,45,68,929,152,732,152,76,69,1167,284,175,109,245,217,0
7337,20,213,225,196,1803,365,43,69,914,146,724,146,75,69,1177,263,155,108,224,196,0
7338,21,256,268,238,1179,322,11,109,793,47,777,53,80,68,1207,312,195,117,267,243,1
7339,22,267,279,250,1135,306,13,107,747,53,739,60,77,66,1193,323,208,115,277,254,0
7329,23,242,254,224,1967,359,52,59,922,211,922,212,75,68,1250,291,181,110,254,228,0
7330,24,229,241,211,1774,367,41,70,913,140,712,140,75,68,1193,279,170,109,240,211,0
7331,25,265,277,247,1221,337,11,111,828,47,812,51,80,67,1228,322,204,118,275,252,0
7332,26,268,279,250,1194,330,11,111,808,48,794,52,79,68,1181,324,208,116,278,255,0
7333,27,266,277,248,1161,322,11,111,787,48,775,52,79,67,1187,323,206,117,275,253,1
7334,28,266,278,249,1150,313,12,108,764,52,756,57,79,68,1190,322,206,116,276,253,0
7320,29,251,263,233,1859,358,49,63,907,180,745,180,75,68,1220,300,191,109,262,233,0
