,Longitude,Latitude,geometry,index_right,pointid,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Exists?
0,43.5885,-22.832,POINT (43.5885 -22.8320000000001),1323,5987,243,273,207,464,115,3,104,308,13,308,13,132,64,2590,333,129,204,273,207,1
1,43.6667,-23.35,POINT (43.6667 -23.34999999999982),967,6342,242,273,209,343,79,4,90,213,17,213,18,122,63,2516,333,140,193,273,211,1
2,43.7667,-23.55,POINT (43.7667 -23.54999999999994),873,6438,242,272,208,389,92,4,92,247,19,247,20,125,63,2540,334,137,197,272,211,1
3,44.0167,-18.0667,POINT (44.0167 -18.06670000000002),4529,2764,256,273,229,1082,340,3,126,808,12,808,12,90,61,1830,321,175,146,273,229,1
4,44.153733,-23.525183,POINT (44.153733 -23.52518300000011),877,6442,247,278,206,486,123,4,100,318,17,318,18,143,65,2850,343,124,219,278,213,1
5,44.3333,-21.4333,POINT (44.3333 -21.43329999999996),2235,5085,246,272,208,868,250,1,118,611,6,611,6,140,64,2561,338,121,217,272,208,1
6,44.3333,-19.0333,POINT (44.3333 -19.03329999999993),3794,3508,260,278,230,1019,308,1,122,748,10,568,10,115,64,1972,334,156,178,278,230,1
7,44.4667,-16.7333,POINT (44.4667 -16.73330000000018),5570,1724,267,281,244,1229,454,0,142,962,5,558,5,113,66,1516,338,169,169,279,244,1
8,44.504333,-22.741833,POINT (44.504333 -22.74183299999965),1388,5943,238,266,199,722,198,3,108,491,14,414,16,170,67,2656,356,103,253,263,211,1
9,44.6167,-18.6667,POINT (44.6167 -18.66669999999996),4032,3274,256,273,226,1209,338,2,114,833,11,655,11,121,65,1892,336,150,186,270,226,1
10,44.623717,-25.10415,POINT (44.623717 -25.1041500000001),74,7261,243,277,200,436,87,8,81,250,30,220,40,129,61,3102,337,127,210,277,208,1
11,44.67222,-20.075,POINT (44.67222 -20.07500000000009),3150,4161,260,281,227,942,293,1,124,675,3,504,3,134,64,2242,344,135,209,281,227,1
12,44.72,-22.88,POINT (44.72 -22.88000000000039),1282,6053,219,244,180,749,191,5,104,491,19,431,19,157,67,2568,324,91,233,244,180,1
13,44.84167,-22.45833,POINT (44.84167 -22.45832999999979),1558,5782,225,249,188,747,192,5,105,495,20,442,21,152,66,2402,327,100,227,248,196,1
14,44.86028,-18.78444,POINT (44.86028 -18.78443999999993),3976,3337,244,261,215,1328,345,2,108,876,11,412,11,130,65,1874,331,133,198,259,215,1
15,44.9167,-17.8167,POINT (44.91669999999999 -17.81670000000021),4734,2579,255,270,230,1566,390,2,105,989,13,479,14,125,67,1596,335,151,184,266,233,1
16,45.126766,-22.58405,POINT (45.126766 -22.58405000000005),1450,5895,226,251,191,754,192,4,104,492,15,431,15,149,66,2406,326,103,223,250,191,1
17,45.271833,-16.017633,POINT (45.27183300000001 -16.01763300000032),6077,1232,266,279,244,1243,406,1,131,950,6,586,6,100,67,1452,326,178,148,277,244,1
18,45.347,-16.472,POINT (45.347 -16.47200000000006),5773,1541,259,271,236,1358,411,2,122,978,9,694,9,113,69,1472,326,163,163,268,236,1
19,45.356983,-18.24645,POINT (45.35698300000001 -18.24645000000009),4416,2908,219,235,191,1606,378,4,103,1000,17,516,17,131,67,1754,306,111,195,231,191,1
